key,Fund Rollup Level 3,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
198,Cost Sharing,11694,Constructora N Odebrecht,INTL_PRIV_SECTOR,International Private Sector,ODEBRECHT,Constructora N Odebrecht,82786
199,Cost Sharing,11710,US Int'l Narcotics & Law Enfmn,USA,United States of America,USA_GOVT_DEVT_AGENCY,USA Govt Development Agency,25277881
200,Cost Sharing,11724,European Comm. Humanit. Aid Of,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,6401493
201,Cost Sharing,11752,Sawiris Foundation,NATL_FOUNDATIONS,National Foundations,EGY_FOUNDATIONS,Egypt Foundations,124538
202,Cost Sharing,11754,FELCOS UMBRIA,INTL_PRIV_SECTOR,International Private Sector,FELCOS UMB,FELCOS UMBRIA,5436
203,Cost Sharing,11760,HIVOS,INTL_PRIV_SECTOR,International Private Sector,HIVOS,HIVOS,105871
204,Cost Sharing,11766,MDTFO/JP_Georgia_GendeEqualit,MDTF1,Multi Partner Trust Funds,GEO_,MDTFO/JP_Georgia_GendeEqualit,880868
205,Cost Sharing,11776,UN Tr Fund for Human Security,UN_AGENCIES,UN Agencies,UN,United Nations,3632487
206,Cost Sharing,11790,SHELL IRAQ PETROLEUM DEVELOPME,INTL_PRIV_SECTOR,International Private Sector,SHELL IRAQ,SHELL IRAQ PETROLEUM DEVELOPME,97780
207,Cost Sharing,11791,BRA-ELETROBRAS FURNAS,NATL_PRIV_SECTOR,National Private Sector,BRAZIL,PRIVATE NATIONAL,183542
208,Cost Sharing,11793,UNDP AS MA_POOLED FUNDS,UN_AGENCIES,UN Agencies,UNDP_MA,UNDP AS MA_POOLED FUNDS,697996
209,Cost Sharing,11799,Banque Libano-Francaise,REGIONAL_BANKS,Regional Banks,REGIONAL_BANKS_FI,Regional Banks FIs,39975
210,Cost Sharing,11815,NGI,NATL_PRIV_SECTOR,National Private Sector,NGI,NGI,21256
211,Cost Sharing,11854,Australian DFAT,AUS,Australia,AUS_DEVT_AGENCY,Australia Development Agency,11840342
212,Cost Sharing,11864,CIEMAT,ESP,Spain,ESP_GOVT,Spain Government,848
213,Cost Sharing,11870,JALA GROUP,NATL_PRIV_SECTOR,National Private Sector,CHINA,CWDF,175000
214,Cost Sharing,11881,DEPT. OF ENVIRONMENT CANADA,CAN,Canada,CAN_GOVT,Canada Government,0
215,Cost Sharing,11900,African Union,MUTLI_AGY2,MULTI-LATERAL AGENCY2,AFR UNION,African Union,-200000
216,Cost Sharing,11906,DANISH GOV/MIN of FOREIGN AFF,DNK,Denmark,DNK_GOVT,Denmark Government,2946567
217,Cost Sharing,11924,MPTF/JP_UN PART RIGHTS DISAB,MDTF1,Multi Partner Trust Funds,UN_PRPD_DISABILITIES,Rights of Persons- Disabilitie,110003
218,Cost Sharing,11929,MDTFO/UNDP CVF,MDTF1,Multi Partner Trust Funds,BOM_OFA_ACCOUNTS,MDTFO/UNDP CVF,1699988
219,Cost Sharing,11955,MDTFO/UNDP-MPTF Viet Nam REDD,MDTF1,Multi Partner Trust Funds,VNM REDD,MDTFO/UNDP-MPTF Viet Nam REDD,4156176
220,Cost Sharing,11975,Provincia di Viterbo,ITA,Italy,ITA_GOVT,Italy Government,4669
221,Cost Sharing,11992,RICERCA E COOPERAZIONE,NATIONAL NGO,National NGO,RICERCAECO,RICERCA E COOPERAZIONE,-109528
222,Cost Sharing,11994,IPE Global Private Limited,INTL_PRIV_SECTOR,International Private Sector,IPE GLOBAL,IPE Global Private Limited,89663
223,Cost Sharing,12027,ICLEI,NATL_PRIV_SECTOR,National Private Sector,ICLEI,Rio Uruguay Seguros,37318
224,Cost Sharing,12037,MDTFO/UNDPJP DRC FightImpunity,MDTF1,Multi Partner Trust Funds,JP_COD,MDTFO/UNDPJP DRC FightImpunity,2156763
225,Cost Sharing,12064,International Fund for Animal,INTL_PRIV_SECTOR,International Private Sector,IFAW,International Fund for Animal,91500
226,Cost Sharing,12065,TRAMA TECHNOAMBIANTAL,INTL_PRIV_SECTOR,International Private Sector,TTA,TTA,148367
227,Cost Sharing,12072,The paltel group Foundation,NATL_FOUNDATIONS,National Foundations,PAL_FOUNDATIONS,Palestine Foundations,6647623
228,Cost Sharing,12078,SASOL SYNFUELS INTERNATIONAL,INTL_PRIV_SECTOR,International Private Sector,SASOL,SASOL SYNFUELS INTERNATIONAL,145000
229,Cost Sharing,12081,Oak Foundation,UN_AGENCIES,UN Agencies,OAK,UNDP/COMPACT Re-granting,195768
230,Cost Sharing,12106,BRA - PACTO GLOBAL,NATIONAL NGO,National NGO,BRA - PACTO,Pacto Global,363332
231,Cost Sharing,12110,Mondelez Global LLC (fka Kraft,INTL_PRIV_SECTOR,International Private Sector,IDN -,Mondelez Global LLC (Kraft),35000
232,Cost Sharing,12113,The Department of Foreign Affa,CAN,Canada,CAN_DEVT_AGENCY,Canadian Development Agency,9641216
233,Cost Sharing,12123,ASOCIACION GUATEMALTECA DE EXP,NATIONAL NGO,National NGO,GUA,ASO GUA DE EXP,48175
234,Cost Sharing,12126,KGZ New Zealand Rural Trust,NATIONAL NGO,National NGO,NZL-,New Zealand Rural Trust,10100
235,Cost Sharing,12130,Church of Cyprus,NATIONAL NGO,National NGO,CYP-,CHURCH,1116072
236,Cost Sharing,12131,EVKAF ADMINISTRATION,NATL_FOUNDATIONS,National Foundations,CYP_FOUNDATIONS,Cyprus Foundations,528277
237,Cost Sharing,12139,US DEPARTMENT OF STATE - BPRM,USA,United States of America,USA_GOVT,United States of America Gover,1000000
238,Cost Sharing,12149,GAVI,MUTLI_AGY2,MULTI-LATERAL AGENCY2,CHE-,GAVI ALLIANCE,14336080
239,Cost Sharing,12169,MDTFO/UNDP - Cambodia Disab Ri,MDTF1,Multi Partner Trust Funds,KHM_JP_DIS_,RIGHTS,715065
240,Cost Sharing,12173,Repsol Colombia S.A.,INTL_PRIV_SECTOR,International Private Sector,COL -,REPSOL,778724
241,Cost Sharing,12179,RED DEL PACTO GLOBAL PARAGUAY,UN_AGENCIES,UN Agencies,PRY -,REDPACTO,72170
242,Cost Sharing,12191,Samsung Electronics KZ and Cen,INTL_PRIV_SECTOR,International Private Sector,KAZ -,SamsungKZ,63256
243,Cost Sharing,12195,Eupportunity,NATL_PRIV_SECTOR,National Private Sector,BEL -,EUPPORT,23830
244,Cost Sharing,12208,HOLY SPIRIT UNIVERSITY OF KASL,NATL_PRIV_SECTOR,National Private Sector,LBN-USEK,USEK,95268
245,Cost Sharing,12228,GEMAYEL FRERES,INTL_PRIV_SECTOR,International Private Sector,LBN-GEMAYEL,GEMAYEL FR,143564
246,Cost Sharing,12246,MDTFO CAR UN Window,MDTF1,Multi Partner Trust Funds,CAR,UN Window,9468037
247,Cost Sharing,12247,MDTFO JP PFI,MDTF1,Multi Partner Trust Funds,MDTFO PFI,PFI,246325
248,Cost Sharing,12248,MPTFO MDA Unity in Action,MDTF1,Multi Partner Trust Funds,MDA -,Unity in Action,824752
249,Cost Sharing,12253,Education Above All-AlFakhoora,NATL_PRIV_SECTOR,National Private Sector,QAT -,EAAFakhoor,7282982
250,Cost Sharing,12254,CORPORACIÓN MAKAIA,INTERNATIONAL NGO,International NGO,COL-CORMAKAIA,CORMAKAIA,42800
251,Cost Sharing,12256,MDTFO JP oPt Rule of Law,MDTF1,Multi Partner Trust Funds,MDTFO OPTR,MDTFO oPtR,8042925
252,Cost Sharing,12259,EWEA,NATL_PRIV_SECTOR,National Private Sector,BEL-EWEA,BEL_EWEA,10748
253,Cost Sharing,12265,MDTFO JP Kosovo DEED,MDTF1,Multi Partner Trust Funds,MDTFO JPKD,MDTFO JP Kosovo DEED,170766
254,Cost Sharing,12267,MPTFO South Sudan CHF,MDTF1,Multi Partner Trust Funds,MDTF SSCHF,MDTF UNDP South Sudan CHF,44024841
255,Cost Sharing,12269,MDTFO Somalia UN Stream,MDTF1,Multi Partner Trust Funds,MDTF SOMUN,MDTFO Somalia UN Stream,45293144
256,Cost Sharing,12270,MPTFO Sustainable DG Fund,MDTF1,Multi Partner Trust Funds,MDTFO SDGF,MDTF Sustainable DG Fund,3690842
257,Cost Sharing,12273,MPTFO Kurdistan Vision 2020,MDTF1,Multi Partner Trust Funds,MDTF K2020,MDTF Kurdistan Vision 2020,15000
258,Cost Sharing,12274,CORP P/ DES COMUNIT PORAMERICA,NATL_PRIV_SECTOR,National Private Sector,COL-PORAMERICA,COL-PORAMERICA,-57
259,Cost Sharing,12279,MPTF/JP Kazakhstan Kyzylorda,MDTF1,Multi Partner Trust Funds,MPTF-JKZ10,MPTF/JP Kazakhstan Kyzylorda,1050450
260,Cost Sharing,12280,MPTF/JP Kazakhstan Mangystau,MDTF1,Multi Partner Trust Funds,MPTF-JKZ20,MPTF/JP Kazakhstan Mangystau,951400
261,Cost Sharing,12281,Baidu Foundation,NATL_PRIV_SECTOR,National Private Sector,CHN-BAIDU,CHN-Baidu,328432
262,Cost Sharing,12282,Organizacion de Estados lberoa,INTL_PRIV_SECTOR,International Private Sector,COL-OEI,COL-OEI,-6390
263,Cost Sharing,12284,MPTFO JP Mali Climate Fund,MDTF1,Multi Partner Trust Funds,MPTF-3ML00,MPTFO JP Mali Climate Fund,945345
264,Cost Sharing,12297,MPTFO JP BIH CRSV,MDTF1,Multi Partner Trust Funds,MPTF-JBA00,MPTFO JP BIH CRSV,284192
265,Cost Sharing,12300,MPTFO  Ebola Response,MDTF1,Multi Partner Trust Funds,MPTF-EBO00,MPTF Ebola Response Fund,2872535
266,Cost Sharing,12301,TAVOLA VALDESE ROMA - OTTO PER,INTL_PRIV_SECTOR,International Private Sector,ITA-TAVOLA VAL,ITA-TAVOLA VAL,167597
267,Cost Sharing,12317,Petrobras Internacional Braspe,NATL_PRIV_SECTOR,National Private Sector,PETROB-COL,PETROB-COL,268593
268,Cost Sharing,12325,Delivering Results Together,MDTF1,Multi Partner Trust Funds,MPTFO-DRT,MPTFO-DRT,161900
269,Cost Sharing,12333,Swedish Envir Protection Agy,SWE,Sweden,SWE_GOVT,Sweden Government,1071658
270,Cost Sharing,12337,MPTFO JP Belarus BELMED,MDTF1,Multi Partner Trust Funds,MPTF-JBY01,MPTF-JBY01,375279
271,Cost Sharing,12350,United Nations Multidimensiona,MUTLI_AGY2,MULTI-LATERAL AGENCY2,MINUSMA,MINUSMA,1072761
272,Cost Sharing,12357,Fundación Gonzalo Río Arronte,NATL_FOUNDATIONS,National Foundations,MEX_FOUNDATIONS,Mexico Foundations,19978
273,Cost Sharing,12361,Rockefeller Philanthropy Adv,INTERNATIONAL NGO,International NGO,RPA,Rockefeller Philanthropy Adv,686242
274,Cost Sharing,12364,Mondelez Europe GmbH,NATL_PRIV_SECTOR,National Private Sector,MONDELEZ E,Mondelez Europe GmbH,215535
275,Cost Sharing,12376,MPTF Office & JP - Sudan CHF,MDTF1,Multi Partner Trust Funds,SUDAN CHF,MPTF Office & JP - Sudan CHF,28006736
276,Cost Sharing,12397,State Secretariat for Eco Aff,CHE,Switzerland,CHE_GOVT_OTHER_AGENC,CHE Govt Other Agencies,916943
277,Cost Sharing,12398,ASOC. MUNICIPALID. REG. ANTOFA,CHL,Chile,CHL_MIN,Chile Ministry,185623
278,Cost Sharing,12402,K Abdul. Int. Cen. II Dialogue,MUTLI_AGY2,MULTI-LATERAL AGENCY2,KAICIID,KAICIID,106383
279,Cost Sharing,12405,Fiduciaria de Occidente S.A.,NATL_PRIV_SECTOR,National Private Sector,FIDUCIDENT,FiduCident,1070747
280,Cost Sharing,12411,MPTF-UN Action agst Sexual Vio,MDTF1,Multi Partner Trust Funds,MPTF-UNA00,MPTF-UNA00,4084539
281,Cost Sharing,12418,HENGCHANG LITONG INVESTMENT,NATL_PRIV_SECTOR,National Private Sector,HENGCHANG,HENGCHANG,100000
282,Cost Sharing,12483,MPTF Albania One UN Fund,MDTF1,Multi Partner Trust Funds,MPTF_ALB_ONE_UN,MPTF - ALB One UN Fund,628610
283,Cost Sharing,12491,Cementos Progreso,NATL_PRIV_SECTOR,National Private Sector,CEMPRO,Cementos Progreso,14867
284,Cost Sharing,12492,"TIGO, Comunicaciones Celulares",NATL_PRIV_SECTOR,National Private Sector,FUND-TIGO,Fundacion TIGO,15000
285,Cost Sharing,12493,TRECSA - Guatemala,NATL_PRIV_SECTOR,National Private Sector,TRECSA,TRECSA,250
286,Cost Sharing,12503,MPTF - JP Niger Dev. Maradi,MDTF1,Multi Partner Trust Funds,JP_NIGER_DEVT_MARADI,JP Niger Development Maradi,266022
287,Cost Sharing,12508,Dana Insurance Company,NATL_PRIV_SECTOR,National Private Sector,DANAINSCO,Dana Insurance Company,28223
288,Cost Sharing,12513,Bank of Palestine,REGIONAL_BANKS,Regional Banks,REGIONAL_BANKS_FI,Regional Banks FIs,50000
289,Cost Sharing,12519,UNAIDS Bdgt Reslt Actblty Frmk,UN_AGENCIES,UN Agencies,UNAIDS,AGY_UNAIDS,4300000
290,Cost Sharing,12524,UNION OF TURKISH BAR ASSOC.,NATIONAL NGO,National NGO,TUR-UTBA,Union of Turkish Bar Assoc.,89775
291,Cost Sharing,12530,Fundación  CRUSA-CRI,NATL_FOUNDATIONS,National Foundations,CRUSA-CRI,Fundacion CRUSA-CRI,357400
292,Cost Sharing,12540,FUNDACION POPULAR INC,NATL_FOUNDATIONS,National Foundations,FUNPOPULAR,Fundacion Popular Inc,33821
293,Cost Sharing,12542,ALBERT MATTA,NATL_FOUNDATIONS,National Foundations,ALB-MATA,Albert Matta,149901
294,Cost Sharing,12554,GERDAU DIACO,INTL_PRIV_SECTOR,International Private Sector,GERDAU-COL,Gerdau Diaco,45
295,Cost Sharing,12564,Kingdom Sanitary Products Co.,NATL_PRIV_SECTOR,National Private Sector,KINGDOM,Kingdom Sanitary Products Co,74850
296,Cost Sharing,12566,TANOTO FOUNDATION,NATL_FOUNDATIONS,National Foundations,TANOTO,Tanoto Foundation,155172
297,Cost Sharing,12567,SALWA GHADDAR,NATL_PRIV_SECTOR,National Private Sector,SALWAGADAR,Salwa Ghaddar,99828
298,Cost Sharing,12573,MPTF JP Pakistan FATA JPK00,MDTF1,Multi Partner Trust Funds,MPTF-JPK00,MPTF JP Pakistan FATA JPK00,1208196
299,Cost Sharing,12575,MPTF JP Guatemala lxil JGT30,MDTF1,Multi Partner Trust Funds,MPTF-JGT30,MPTF JP Guatemala lxil JGT30,858059
300,Cost Sharing,12576,MPTF JP Guatemala Cuilco JGT20,MDTF1,Multi Partner Trust Funds,MPTF-JGT20,MPTF JP Guatemala Cuilco JGT20,632777
301,Cost Sharing,12581,Global Leader Education,NATL_PRIV_SECTOR,National Private Sector,GLE,Global Leader Education,20000
302,Cost Sharing,12583,BelRSPCentrMedicalTechnologies,BLR,Republic of Belarus,BLR_MIN,Republic of Belarus Ministry,5063385
303,Cost Sharing,12595,KARAGHEUSIAN FOUNDATION,INTL_FOUNDATIONS,International Foundations,K-GHEUSIAN,Karagheusian Foundation,79891
304,Cost Sharing,12598,Telenor Pakistan,NATL_PRIV_SECTOR,National Private Sector,TELENORPAK,Telenor Pakistan,36951
305,Cost Sharing,12600,China Communications Construct,NATL_PRIV_SECTOR,National Private Sector,CCCC,China Communications Constn.,61671
306,Cost Sharing,12601,MPTFO JP Yemen Rural Resilienc,MDTF1,Multi Partner Trust Funds,MPTF-JYE00,MPTF JP Yemen Rural Resilience,5890111
307,Cost Sharing,12611,Mtiya Dynamics (Pty) Ltd,NATL_PRIV_SECTOR,National Private Sector,MTIYA,Mtiya Dynamics (Pty) Ltd,56100
308,Cost Sharing,12616,Michael Succow Foundation,INTL_FOUNDATIONS,International Foundations,SUCCOWF,Michael Succow Foundation,27366
309,Cost Sharing,12623,MPTF-UN Fund Darfur,MDTF1,Multi Partner Trust Funds,MPTF-UNFD,MPTF - UN Fund Darfur,11662063
310,Cost Sharing,12632,Fundacion Oleoductos - COL,NATL_FOUNDATIONS,National Foundations,FUNDA OLEO,Fundacion Oleoductos - COL,189994
311,Cost Sharing,12635,Zhongsheke Intl. Cul. Ex.-CHN,NATL_PRIV_SECTOR,National Private Sector,ZHONG-CHN,Zhongsheke Intl. Cul. Ex.-CHN,77196
312,Cost Sharing,12641,MPTFO-Colombia Post-Conflict,MDTF1,Multi Partner Trust Funds,MPTFO-CPC,MPTFO-Colombia Post-Conflict,12947867
313,Cost Sharing,12653,Tencent Research Institute,NATL_PRIV_SECTOR,National Private Sector,TENCENT,Tencent Research Institute,150841
314,Cost Sharing,12657,Dept of Imm. & Border Protn.,AUS,Australia,AUS_GOVT,Australia Government,2546519
315,Cost Sharing,12660,Medistar Corporation,NATL_PRIV_SECTOR,National Private Sector,MEDISTAR,Medistar Corporation,29965
316,Cost Sharing,12665,BSRM Steels Limited,NATL_PRIV_SECTOR,National Private Sector,BSRM-BGD,BSRM Steels Limited,50079
317,Cost Sharing,12668,Fundacion Repsol,INTL_FOUNDATIONS,International Foundations,FUNDREPSOL,Fundacion Repsol,99940
318,Cost Sharing,12669,Climate Analytics,INTERNATIONAL NGO,International NGO,CLIMANALYT,Climate Analytics,216000
319,Cost Sharing,12670,MPTFO - Mozambique One UN Fund,MDTF1,Multi Partner Trust Funds,MPTF-MZ100,MPTFO-Mozambique One UN Fund,149402
320,Cost Sharing,12673,"Sabafone,Yemen",NATL_PRIV_SECTOR,National Private Sector,SABAFONE,"Sabafone, Yemen",16579
321,Cost Sharing,12676,Nuevos Almacenes SA(CEMACO),NATL_PRIV_SECTOR,National Private Sector,CEMACO-GTM,Nuevos Almacenes SA (CEMACO),1250
322,Cost Sharing,12677,Guizhou Wing Cloud High Tech,NATL_PRIV_SECTOR,National Private Sector,WING CLOUD,Guizhou Wing Cloud High Tech,436240
323,Cost Sharing,12678,"HNA Group, China",INTL_PRIV_SECTOR,International Private Sector,HNA GROUP,HNA Group,78607
324,Cost Sharing,12680,Kuraimi Isl. Microfin. Bk.-YEM,NATL_PRIV_SECTOR,National Private Sector,KIMB-YEM,Kuraimi Isl. Microfin Bk-YEM,10000
325,Cost Sharing,12682,Pure Hand for Mankind,INTERNATIONAL NGO,International NGO,PURE HAND,Pure Hands for Mankind,16500
326,Cost Sharing,12685,ECU-AMERICA CHAMBERofCOMMERCE,NATIONAL NGO,National NGO,ECU-AM-COC,ECU-America ChamberofCommerce,185115
327,Cost Sharing,12686,The Big Heart Foundation,INTERNATIONAL NGO,International NGO,TBHF,The Big Heart Foundation,336621
328,Cost Sharing,12688,Claro Colombia S.A.,NATL_PRIV_SECTOR,National Private Sector,CLARO-COL,Claro Colombia S.A.,32812
329,Cost Sharing,12694,Finance Ctr South-South Coop.,INTERNATIONAL NGO,International NGO,FCSSC,Finance Ctr South-South Coop.,530000
330,Cost Sharing,12695,Tibet Water Resources Ltd.,INTL_PRIV_SECTOR,International Private Sector,TIBWATRES,Tibet Water Resources Ltd.,77959
331,Cost Sharing,12700,King salman Youth Center,NATIONAL NGO,National NGO,KSYC-SAU,King Salman Youth Center,157500
332,Cost Sharing,12703,MPTFO-JP Gender Nat Res Peace,MDTF1,Multi Partner Trust Funds,MPTF-JXD00,MPTFO-JP Gender Nat Res Peace,108284
333,Cost Sharing,12704,LIMAK FOUNDATION,NATL_FOUNDATIONS,National Foundations,LIMAK,Limak Foundation,73440
334,Cost Sharing,12705,ANGLO AMERICAN CHILE LTDA.,INTL_PRIV_SECTOR,International Private Sector,CHL-ANGLO,Anglo American Chile Ltda,131851
335,Cost Sharing,12707,"Flinders University, Australia",NATL_PRIV_SECTOR,National Private Sector,FLINUNIAUS,"Flinders University, Australia",28550
336,Cost Sharing,12710,Environomist Ltd.,NATL_PRIV_SECTOR,National Private Sector,ENVIR-MIST,Environomist Ltd.,10531
337,Cost Sharing,12713,Charities Aid Foundn. America,INTL_PRIV_SECTOR,International Private Sector,CAFAMERICA,Charities Aid Foundn. America,12436
338,Cost Sharing,12715,Institute on Governance - CAN,CAN,Canada,CANADA_OTHER,Canada - other,38343
339,Cost Sharing,12721,Gree Electric Appliances Inc.,INTL_PRIV_SECTOR,International Private Sector,CHN-GREE,Gree Electric Appliances Inc.,72411
340,Cost Sharing,12722,Lenovo Group Ltd,INTL_PRIV_SECTOR,International Private Sector,LENOVO,Lenovo Group Ltd,28964
341,Cost Sharing,12726,"Intl. Youth Council, Yemen",INTERNATIONAL NGO,International NGO,YEM-IYC,"Intl. Youth Council, Yemen",15000
342,Cost Sharing,12727,MPTFO-JP Lesotho Humanitarian,MDTF1,Multi Partner Trust Funds,MPTF-JLS00,MPTFO-JP Lesotho Humanitarian,146395
343,Cost Sharing,12731,United Photovoltaics Group Ltd,NATL_PRIV_SECTOR,National Private Sector,CHN-UPV,United Photovoltaics Group Ltd,299401
344,Cost Sharing,12733,Better Shelter,INTL_PRIV_SECTOR,International Private Sector,BGD-BSHLTR,Better Shelter,4500
345,Cost Sharing,12734,Independiente del Valle,NATL_PRIV_SECTOR,National Private Sector,ECU-IDV,Independiente del Valle,400000
346,Cost Sharing,12736,Rechsand Sci. & Tech. Group,NATL_PRIV_SECTOR,National Private Sector,CHN-R.SAND,Rechsand Sci. & Tech. Group,14970
347,Cost Sharing,12744,Haier Financial Services,NATL_PRIV_SECTOR,National Private Sector,CHN-HAIER,CHN-HAIER,250000
348,Cost Sharing,12749,UBS Optimus Foundation,INTL_FOUNDATIONS,International Foundations,UBSOPTIMUS,UBSOptimus,7560
349,Cost Sharing,12752,Bridgehead Limited,INTL_PRIV_SECTOR,International Private Sector,BRIDGEHEAD,BridgeHead,180000
350,Cost Sharing,12754,International Medical Corps,INTERNATIONAL NGO,International NGO,IMC_USA,Intl Medical Corps,250000
351,Cost Sharing,12757,Bank of Industry Limited,REGIONAL_BANKS,Regional Banks,REGIONAL_BANKS_FI,Regional Banks FIs,1400000
352,Cost Sharing,12761,MPTFO-VietNam OnePlan Fund II,MDTF1,Multi Partner Trust Funds,MPTF-VN200,MPTF-Viet Nam One Plan Fund II,181989
353,Cost Sharing,12763,AlianzaEmprendimiento Inovacio,NATIONAL NGO,National NGO,ECU-AEI,ECU-AEI,24300
354,Cost Sharing,12767,MPTFO-Malawi One UN Fund,MDTF1,Multi Partner Trust Funds,MPTF-MW100,MPTFO-Malawi One UN Fund,262469
355,Cost Sharing,12768,CAFI Natl Investment Framework,MUTLI_AGY2,MULTI-LATERAL AGENCY2,CAFI-NIF,CAFI Natl Invest Framework,1101970
356,Cost Sharing,12770,Haier Strauss Water Co. Ltd.,INTL_PRIV_SECTOR,International Private Sector,CHN-HSW,Haier Strauss Water Co. Ltd.,120000
357,Cost Sharing,12774,Haifu Int. Fin. Hldg. Grp. Ltd,INTL_PRIV_SECTOR,International Private Sector,HIFC,Haifu Int. Fin. Hldg. Grp. Ltd,5000000
358,Cost Sharing,12776,"Didi Chuxing, Xiaoju Tech Co.",NATL_PRIV_SECTOR,National Private Sector,CHN-DIDICH,"Didi Chuxing, Xiaoju Tech Co.",147492
359,Cost Sharing,12779,MDA-Starnet SRL,NATL_PRIV_SECTOR,National Private Sector,MDASTARNET,Starnet SRL - MDA,10772
360,Cost Sharing,12791,PAVIMENTOS COLOMBIA S.A.S.,NATL_FOUNDATIONS,National Foundations,COL-PAVMTS,Pavimentos Colombia S.A.S.,15827
361,Cost Sharing,12796,MPTFO-JP ZMB Gen.BasedViolence,MDTF1,Multi Partner Trust Funds,MPTFFZMBGBV,MPTFO-JP ZMB Gen.BasedViolence,702212
362,Cost Sharing,54392,Ministry of Foreign Affairs an,KOR,Republic of Korea,KOR_GOVT,Republic of Korea Government,1124487
363,Cost Sharing, ,,,,,,167631
364,Cost Sharing,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGENCIES,UN Agencies,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,-135824
365,Cost Sharing,15,WORLD BANK (INT'L. BANK FOR RE,IFI_WB_GROUP,IFI World Bank Group,WORLD_BANK_IBRD,World Bank,149700
366,Cost Sharing,16,INTER-AMERICAN DEVELOPMENT BAN,IFI_WB_GROUP,IFI World Bank Group,OTHER_WB_GROUP,Other Banks-World Bank Group,110000
367,Cost Sharing,17,AFRICAN DEVELOPMENT BANK,REGIONAL_BANKS,Regional Banks,REGIONAL_BANKS_FI,Regional Banks FIs,50809
368,Cost Sharing,36,INTERNATIONAL FUND FOR AGRICUL,UN_AGENCIES,UN Agencies,IFAD,AGY_NTERNATIONAL FUND FOR AGRI,250000
369,Cost Sharing,45,GOVERNMENT OF ALBANIA,ALB,Albania,ALB_GOVT,Albania Government,57290
370,Cost Sharing,46,GOVERNMENT OF ALGERIA,DZA,Algeria,DZA_GOVT,Algeria Government,242198
371,Cost Sharing,62,GOVERNMENT OF BENIN,BEN,Benin,BEN_GOVT,Benin Government,2414382
372,Cost Sharing,64,GOVERNMENT OF BANGLADESH,BGD,Bangladesh,BGD_GOVT,Bangladesh Government,571444
373,Cost Sharing,66,GOVERNMENT OF BHUTAN,BTN,Bhutan,BTN_GOVT,Bhutan Government,19379
374,Cost Sharing,67,GOVERNMENT OF BOSNIA AND HERZE,BIH,Bosnia and Herzegovina,BIH_GOVT,Bosnia and Herzegovina Governm,7297970
375,Cost Sharing,70,GOVERNMENT OF BOTSWANA,BWA,Botswana,BWA_GOVT,Botswana Government,2090393
376,Cost Sharing,71,GOVERNMENT OF BRAZIL,BRA,Brazil,BRA_GOVT,Brazil Government,365706
377,Cost Sharing,81,GOVERNMENT OF CHAD,TCD,Chad,TCD_GOVT,Chad Government,2924223
378,Cost Sharing,88,GOVERNMENT OF COSTA RICA,CRI,Costa Rica,CRI_GOVT,Costa Rica Government,714633
379,Cost Sharing,89,GOVERNMENT OF CHINA,CHN,People's Republic of China,CHN_GOVT,People's Republic of China Gov,6483420
380,Cost Sharing,92,GOVERNMENT OF CAPE VERDE,CPV,Cape Verde,CPV_GOVT,Cape Verde Government,103000
381,Cost Sharing,93,GOVERNMENT OF CYPRUS,CYP,Cyprus,CYP_GOVT,Cyprus Government,57391
382,Cost Sharing,98,GOVERNMENT OF DOMINICAN REPUBL,DOM,Dominican Republic,DOM_GOVT,Dominican Republic Government,18003365
383,Cost Sharing,101,GOVERNMENT OF EGYPT,EGY,Egypt,EGY_GOVT,Egypt Government,36734965
384,Cost Sharing,103,GOVERNMENT OF EQUATORIAL GUINE,GNQ,Equatorial Guinea,GNQ_GOVT,Equatorial Guinea Government,3341314
385,Cost Sharing,113,GOVERNMENT OF GABON,GAB,Gabon,GAB_GOVT,Gabon Government,330108
386,Cost Sharing,115,GOVERNMENT OF GUINEA-BISSAU,GNB,Guinea-Bissau,GNB_GOVT,Guinea-Bissau Government,3242888
387,Cost Sharing,121,GOVERNMENT OF GUATEMALA,GTM,Guatemala,GTM_GOVT,Guatemala Government,13414310
388,Cost Sharing,123,GOVERNMENT OF GUINEA,GIN,Guinea,GIN_GOVT,Guinea Government,19553
389,Cost Sharing,124,GOVERNMENT OF GUYANA,GUY,Guyana,GUY_GOVT,Guyana Government,537045
390,Cost Sharing,131,GOVERNMENT OF INDIA,IND,India,IND_GOVT,India Government,150625
391,Cost Sharing,132,GOVERNMENT OF INDONESIA,IDN,Indonesia,IDN_GOVT,Indonesia Government,155565
392,Cost Sharing,133,GOVERNMENT OF IRAN (ISLAMIC RE,IRN,Islamic Republic of Iran,IRN_GOVT,Islamic Republic of Iran Gover,99147
393,Cost Sharing,135,GOVERNMENT OF IRAQ,IRQ,Iraq,IRQ_GOVT,Iraq Government,2096297
394,Cost Sharing,138,GOVERNMENT OF COTE D'IVOIRE,CIV,Cote D'Ivoire,CIV_GOVT,Cote D'Ivoire Government,726133
395,Cost Sharing,140,GOVERNMENT OF JORDAN,JOR,Jordan,JOR_GOVT,Jordan Government,647094
