key,OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Expenses
1606,Bureau for Dev. Policy,10780,UN FUND FOR UNWOMEN,UN_AGY 1,UN AGENCY 1,UN FUND-UNIFEM,AGY_UNFUND FOR UNIFEM,5733.9
1607,Congo,10881,TOTAL S.A. Multinational Comp,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SYR-TOTAL,PRIV_SYR-TOTAL,5680.09
1608,India,3,INTERNATIONAL LABOUR ORGANIZAT,UN_AGY 1,UN AGENCY 1,ILO,AGY_INTERNATIONAL LABOUR ORGAN,5661.32
1609,Tajikistan,11793,UNDP AS MA_POOLED FUNDS,UN_AGY 1,UN AGENCY 1,UNDP_MA,UNDP AS MA_POOLED FUNDS,5657.24
1610,Peru,11028,PER-GOB.REGIONAL AREQUIPA,PER,Peru,PER_GOVT,Peru Government,5643.49
1611,Kyrgyzstan,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,5626.02
1612,Kosovo,12083,Regional Environmental C,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,REC,Regional Environmental C,5611.19
1613,Burundi,37,WORLD FOOD PROGRAMME,UN_AGY 1,UN AGENCY 1,WFP,AGY_WORLD FOOD PROGRAMME,5542.55
1614,Ukraine,1233,UKR-IVANOFRANKIVSK MUNICIPALIT,UKR,Ukraine,UKR_MIN,Ukraine Ministry,5536.15
1615,Barbados,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,5503.92
1616,Bureau for Dev. Policy,11446,Over seas Development Institut,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ODI,PRIV_BRITAIN,5485.55
1617,Bureau for Dev. Policy,11931,Motorola Solutions Uk Limited,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,MOTOROLA S,Motorola Solutions Uk Limited,5392.27
1618,Reg Bureau for Asia & Pacific,11402,GALDU,NOR,Norway,NOR_MIN,Norway Ministry,5375.85
1619,Madagascar,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,5336.31
1620,Colombia,1025,COL-GOBERNACION DE CORDOBA,COL,Colombia,COL_GOVT,Colombia Government,5191.71
1621,Jordan,11793,UNDP AS MA_POOLED FUNDS,UN_AGY 1,UN AGENCY 1,UNDP_MA,UNDP AS MA_POOLED FUNDS,5182.77
1622,Viet Nam,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,5161.94
1623,Mauritania,11186,"Yamaha Motor Co, LTD",PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,YAMAHA,PRIV_JAPAN,5110.77
1624,Nicaragua,12060,Gobierno Municipal del Rama,NIC,Nicaragua,NIC_GOVT,Nicaragua Government,5040.83
1625,Dominican Republic,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,5029.27
1626,Romania,10245,OPEN SOCIETY INSTITUTE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,OSI,PRIV_OPEN SOCIETY INSTITUTE,5024.68
1627,Namibia,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,5008.64
1628,Liberia,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,5002.52
1629,Haiti,12079,Caribbean Association,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CAJO,Caribbean Association,4893.72
1630,Chile,10503,MINISTRY OF FOREIGN AFFAIRS,NOR,Norway,NOR_MIN,Norway Ministry,4893.31
1631,China,311,PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,4893.11
1632,Ukraine,10970,NOVO-VOLYNSK MUNICIPALITY,UKR,Ukraine,UKR_MIN,Ukraine Ministry,4878.08
1633,Dominican Republic,11177,CADBURY HOLDINGS LTD,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CADBURY,PRIV_UNITED KINGDOM,4875.42
1634,Solomon Islands,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,4852.12
1635,Regional SC - Johannesburg,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,4834.66
1636,Thailand,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,4768.12
1637,Panama Regional Center,204,GOVERNMENT OF REPUBLIC OF KORE,KOR,Republic of Korea,KOR_GOVT,Republic of Korea Government,4727.24
1638,Mexico,11713,Comision Derechos Humanos del,MEX,Mexico,MEX_MIN,Mexico Ministry,4701.79
1639,Croatia,11618,KARLOVAC TOWN,HRV,Croatia,HRV_MIN,GOVERNMENT OF CROATIA,4687.5
1640,"Moldova, Republic of",231,GOVERNMENT OF SWEDEN,SWE,Sweden,SWE_GOVT,Sweden Government,4657.13
1641,Comoros,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,4595
1642,Liberia,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,4576.37
1643,Colombia,603,COL-ALCALDIA SANTIAGO DE CALI,COL,Colombia,COL_MIN,Colombia Ministry,4547.3
1644,Niger,181,GOVERNMENT OF NIGER,NER,Niger,NER_GOVT,Niger Government,4515.94
1645,Croatia,11864,CIEMAT,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CIEMAT,CIEMAT,4515.63
1646,Timor-Leste,10503,MINISTRY OF FOREIGN AFFAIRS,NOR,Norway,NOR_MIN,Norway Ministry,4503.67
1647,Croatia,11896,DONJI LAPAC MUNICIPALITY,HRV,Croatia,HRV_MIN,GOVERNMENT OF CROATIA,4497.31
1648,Reg Bureau for Asia & Pacific,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,4479.34
1649,Croatia,11358,PLASKI MUNICIPALITY,HRV,Croatia,HRV_GOVT,Croatia Government,4456.78
1650,Burundi,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,4422.26
1651,Haiti,145,GOVERNMENT OF KUWAIT,KWT,Kuwait,KWT_GOVT,Kuwait Government,4419.16
1652,Kyrgyzstan,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,4399.6
1653,China,10869,UN DEMOCRACY FUND (UNDEF),UN_AGY 1,UN AGENCY 1,UN,United Nations,4388.15
1654,Prog for Palestinian People,61,GOVERNMENT OF BELGIUM,BEL,Belgium,BEL_GOVT,Belgium Government,4325.69
1655,Bosnia and Herzegovina,10361,ZAYED FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ZAYED FOUN,PRIV_ZAYED FOUNDATION,4306.89
1656,Prog for Palestinian People,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,4258.91
1657,Reg Bur for Arab States,11663,SIEMENS AG,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SIEMENS AG,PRIV,4208.92
1658,Burkina Faso,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,4203.18
1659,Chile,778,CHI-COMISION NACIONAL DE ENERG,CHL,Chile,CHL_MIN,Chile Ministry,4196.44
1660,Lebanon,169,GOVERNMENT OF MONACO,MCO,Monaco,MCO_GVT,MONACO,4189.31
1661,Croatia,11360,SLUNJ TOWN,HRV,Croatia,HRV_GOVT,Croatia Government,4103.61
1662,"Belarus, Republic of",555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,4070.5
1663,Timor-Leste,559,OFFICE OF THE HIGH COMMISSIONE,UN_AGY 1,UN AGENCY 1,OHCHR,AGY_OFFICE OF THE HIGH COMMISS,4044.56
1664,Paraguay,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,4000
1665,Croatia,11108,MUNICIPALITY SUNJA,HRV,Croatia,HRV_GOVT,Croatia Government,3970.6
1666,Namibia,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,3959.73
1667,Egypt,11464,Arab African International ba,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,AAIB,PRIV_EGYPT,3901.1
1668,Ukraine,10858,KIROVSKE MUNICIPALITY,UKR,Ukraine,UKR_MIN,Ukraine Ministry,3879.2
1669,Paraguay,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,3839.21
1670,Brazil,11868,BRA-SECULT,BRA,Brazil,BRA_MIN,Brazil Ministry,3795.56
1671,Serbia,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,3793.87
1672,Lesotho,150,GOVERNMENT OF LESOTHO,LSO,Lesotho,LSO_GOVT,Lesotho Government,3793.25
1673,Croatia,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,3780.77
1674,Namibia,10503,MINISTRY OF FOREIGN AFFAIRS,NOR,Norway,NOR_MIN,Norway Ministry,3770.6
1675,Lesotho,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,3746.2
1676,"South Sudan, Republic of",112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,3742.68
1677,Sao Tome and Principe,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,3739.09
1678,Croatia,11711,Faculty of Mechanical Engineer,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FSB,PRIV,3692.58
1679,Guinea-Bissau,185,GOVERNMENT OF NIGERIA,NGA,Nigeria,NGA_GOVT,Nigeria Government,3681.97
1680,Jordan,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,3672.3
1681,Burundi,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,3612.17
1682,Papua New Guinea,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,3524.07
1683,Chile,1322,CHI-MINISTERIO DE PLANIFICACIO,CHL,Chile,CHL_MIN,Chile Ministry,3494.18
1684,Colombia,11756,Corporacion Regional Guavio,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,COLOMBIA,PRIVATE NATIONAL,3480.91
1685,Croatia,11442,LIKA-SENJ COUNTY,HRV,Croatia,HRV_GOVT,Croatia Government,3428.34
1686,United Republic of Tanzania,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,3400
1687,Brazil,11748,BRA-AOJIN,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,3374.94
1688,Colombia,1352,COL-MINITERIO DE RELACIONES EX,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,MINEXTE,PRIV_COL-MINITERIO DE RELACION,3345.53
1689,Nepal,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,3287.25
1690,Cuba,11300,LAURENT GARNIER SADEV94,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SADEV94,PRIV_FRANCE,3203.94
1691,Timor-Leste,12071,Australian Federal Police,AUS,Australia,AUS_GOVT,Australia Government,3203.25
1692,Russian Federation,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,3193.67
1693,Ecuador,15,WORLD BANK (INT'L. BANK FOR RE,MUTLI_AGY2,MULTI-LATERAL AGENCY2,WB,WORLD BANK,3180.65
1694,"Macedonia, former Yugoslav Rep",73,GOVERNMENT OF BULGARIA,BGR,Bulgaria,BGR_GOVT,Bulgaria Government,3161.33
1695,Guatemala,10216,AG. ESPANOLA DE COOPERACION IN,ESP,Spain,ESP_MIN,Spain Ministry,3129.75
1696,Croatia,12025,County of Varazdin,HRV,Croatia,HRV_GOVT,Croatia Government,3114.74
1697,Reg Bureau for Africa,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,3046.94
1698,Tunisia,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,3024.43
1699,Nicaragua,12058,Gobierno Municipal de Bluefiel,NIC,Nicaragua,NIC_GOVT,Nicaragua Government,3019.64
1700,Dominican Republic,10870,MIN. OF FOREIGN AFFAIRS & COOP,ESP,Spain,ESP_MIN,Spain Ministry,2951.56
1701,Reg Bureau for Asia & Pacific,559,OFFICE OF THE HIGH COMMISSIONE,UN_AGY 1,UN AGENCY 1,OHCHR,AGY_OFFICE OF THE HIGH COMMISS,2950
1702,Namibia,10778,UNFPA-CSA,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,2835.75
1703,Fiji,10279,NEW ZEALAND AGY FOR INT'L DEVE,NZL,New Zealand,NZL_MIN,New Zealand Ministry,2824.95
1704,Bureau for Dev. Policy,304,FORD FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FF,PRI_FORD FOUNDATION,2815.25
1705,Croatia,12036,City of Daruvar,HRV,Croatia,HRV_GOVT,Croatia Government,2768.06
1706,Bosnia and Herzegovina,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,2715.81
1707,Bhutan,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,2702.87
1708,Russian Federation,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,2702.19
1709,Uganda,11363,MDTFO\JP_Peace_Building_Fund,MDTF1,BU,PBF,PEACEBUILDING,2698.21
1710,Reg Bur Latin Amer & Carib,11731,Poder Judicial Michoacan,MEX,Mexico,MEX_MIN,Mexico Ministry,2675.71
1711,Lesotho,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,2669.62
1712,Colombia,11755,Instituto von Humboldt,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,COLOMBIA,PRIVATE NATIONAL,2599.01
1713,Gambia,114,GOVERNMENT OF GAMBIA,GMB,Gambia,GMB_GOVT,Gambia Government,2588.71
1714,Jordan,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,2538.36
1715,Egypt,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,2513.5
1716,Cape Verde,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,2503.04
1717,Croatia,12005,City of Gospic,HRV,Croatia,HRV_GOVT,Croatia Government,2485
1718,Namibia,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,2477.59
1719,Sao Tome and Principe,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,2435.76
1720,Kazakhstan,25,EUROPEAN BANK FOR RECONSTRUCTI,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EBRD,Euro Bank for Reconstruct & De,2417.09
1721,Dominican Republic,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,2390.13
1722,Russian Federation,11681,OJSC-OC ROSNEFT,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ROSNEFT,PRIV,2381.24
1723,Uganda,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,2368.98
1724,Malaysia,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,2325.58
1725,Costa Rica,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,2303.48
1726,Senegal,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,2289.84
1727,Maldives,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,2263.83
1728,Nigeria,28,UN Office on Drugs and Crime,UN_AGY 1,UN AGENCY 1,UNODC,AGY_UN INTERNATIONAL DRUG CONT,2242.38
1729,Ethiopia,56,GOVERNMENT OF AUSTRIA,AUT,Austria,AUT_GOVT,Austria Government,2205.03
1730,Peru,194,GOVERNMENT OF PERU,PER,Peru,PER_GOVT,Peru Government,2190.52
1731,"South Sudan, Republic of",40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,2180.55
1732,Bosnia and Herzegovina,1652,BIH-GOVERNMENT OF REPUBLIKA SR,BIH,Bosnia and Herzegovina,BIH_GOVT,Bosnia and Herzegovina Governm,2179.12
1733,Tunisia,11730,GETF,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,TUNISIA,PRIVATE INTERNATIONAL,2173.56
1734,Mexico,11490,"FMCN,A.C",PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,FMCN,PRIV_MEXICO,2150.46
1735,China,12068,Hainan Cihang Foundation,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,HNA,Hainan Cihang Foundation,2133.74
1736,Sri Lanka,10480,USAID,USA,United States of America,USAID,USAID,2124.21
1737,Communications Office,10606,Cisco Systems International BV,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CISCO BV,PRIV_CISCO BV,2111.14
1738,Syria,11594,SYR-NAT.AGENCY NTWRKING SRVCS,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,NANS,PRIV_USA,2096.93
1739,United Republic of Tanzania,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,2043.26
1740,Egypt,10389,ROCKEFELLER BROTHERS FUND,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,2027.45
1741,Peru,37,WORLD FOOD PROGRAMME,UN_AGY 1,UN AGENCY 1,WFP,AGY_WORLD FOOD PROGRAMME,2017.19
1742,Mali,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,2016.02
1743,Sri Lanka,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,2004.83
1744,Mali,11688,DEUTSCHE GESELLSCHAFT FUR INTE,DEU,Germany,DEU_AGY_GIZ,Germany Agency GIZ,2003.87
1745,Peru,11348,PER-GOB REGIONAL JUNIN,PER,Peru,PER_GOVT,Peru Government,1957.66
1746,Kosovo,467,UNOPS :UNCDF ONLY,UN_AGY 1,UN AGENCY 1,UNOPS,United Nations Office for Proj,1955.67
1747,Nigeria,12093,Fedral Min. of Agriculture,NGA,Nigeria,NGA_GOVT,Nigeria Government,1922.88
1748,Russian Federation,3,INTERNATIONAL LABOUR ORGANIZAT,UN_AGY 1,UN AGENCY 1,ILO,AGY_INTERNATIONAL LABOUR ORGAN,1915.85
1749,Papua New Guinea,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,1908.55
1750,Madagascar,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,1873.26
1751,Liberia,4,FOOD AND AGRICULTURE ORGANIZAT,UN_AGY 1,UN AGENCY 1,FAO,AGY_FOOD AND AGRICULTURE ORGAN,1865.2
1752,Bolivia,11821,Profetto Svilppo Liguria,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,PSL NGO,Profetto Svilppo Liguria,1855.75
1753,Papua New Guinea,11724,European Comm. Humanit. Aid Of,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,1853.96
1754,Turkey,119,GOVERNMENT OF GREECE,GRC,Greece,GRC_GOVT,Greece Government,1832.2
1755,Chile,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,1808.04
1756,Dominican Republic,311,PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,1803.78
1757,Ecuador,1453,ECU-MUNICIPIO DE CUENCA,ECU,Ecuador,ECU_MIN,Ecuador Ministry,1798.4
1758,Russian Federation,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,1781.92
1759,Cuba,10567,EUKAL FONDOA,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CUB-EUSKAL,PRIV_CUB-EUSKAL,1773.11
1760,Burkina Faso,11738,Groupement d'Interet Public,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,GIP ESTHER,Groupement d'Interet Public,1768.24
1761,Thailand,393,WORLD VISION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,WORLDVISIO,PRIV_WORLD VISION,1766.95
1762,Pakistan,190,GOVERNMENT OF PAKISTAN,PAK,Pakistan,PAK_GOVT,Pakistan Government,1734.89
1763,Nicaragua,12059,Gobierno Municipal de Corn Isl,NIC,Nicaragua,NIC_GOVT,Nicaragua Government,1714.2
1764,Croatia,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,1704.42
1765,Côte d’Ivoire,10332,United Nations Operation in Cô,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,1698.61
1766,Liberia,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,1683.7
1767,Croatia,11152,"MINISTRY OF FAMILY, VETERANS",HRV,Croatia,HRV_GOVT,Croatia Government,1662.14
1768,Zimbabwe,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,1654.4
1769,Tunisia,205,GOVERNMENT OF ROMANIA,ROM,Romania,ROM_GOVT,Romania Government,1625.23
1770,Lebanon,11529,Solidere,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SOLIDERE,PRIV_LEBANON,1608.5
1771,Croatia,11359,TOWN OF GVOZD,HRV,Croatia,HRV_GOVT,Croatia Government,1596.59
1772,Ukraine,11169,SAKY MUNICIPALITY,UKR,Ukraine,UKR_GOVT,Ukraine Government,1584.31
1773,Myanmar,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,1563.87
1774,Colombia,11653,SETP Santa Marta S.A.S,COL,Colombia,COL_MIN,Colombia Ministry,1563.62
1775,Colombia,11775,Gobernacion Quindio,COL,Colombia,COL_GOVT,Colombia Government,1537.88
1776,El Salvador,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,1528.48
1777,Croatia,11865,Faculty of Civil Engineering,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CROATIA,PRIVATE NATIONAL,1525.16
1778,Colombia,847,COL-DEPARTAMENTO ADMINISTRATIV,COL,Colombia,COL_MIN3,Colombia Ministry3,1513.81
1779,Mauritius,10238,UNISDR,UN_AGY 1,UN AGENCY 1,UNISDR,AGY_UNISDR,1508.32
1780,Central African Republic,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,1476.14
1781,Russian Federation,559,OFFICE OF THE HIGH COMMISSIONE,UN_AGY 1,UN AGENCY 1,OHCHR,AGY_OFFICE OF THE HIGH COMMISS,1455.02
1782,"Cameroon, Republic of",10977,COMMON FUND - CHOC,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,1450.95
1783,Niger,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,1433.7
1784,Côte d’Ivoire,140,GOVERNMENT OF JORDAN,JOR,Jordan,JOR_GOVT,Jordan Government,1429.67
1785,Uganda,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,1404
1786,Peru,11417,PER-GOB REG TACNA,PER,Peru,PER_GOVT,Peru Government,1392.85
1787,Honduras,311,PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,1385.87
1788,Ukraine,11131,Rubizhne Municipality,UKR,Ukraine,UKR_GOVT,Ukraine Government,1369.82
1789,Russian Federation,1865,UN Information Centre,UN_AGY 1,UN AGENCY 1,UNIC,AGY_UN Information Centre,1366.96
1790,Kosovo,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,1356.85
1791,Lebanon,311,PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,1342.16
1792,Peru,11154,PER - GOB REG AMAZONAS,PER,Peru,PER_GOVT,Peru Government,1335.73
1793,Ukraine,11000,MOHYLIV-PODILSKYI MUNICIPALITY,UKR,Ukraine,UKR_MIN,Ukraine Ministry,1327.43
1794,Democratic Republic of Congo,1858,UN Mission in DRC,UN_AGY 1,UN AGENCY 1,MONUC,AGY_UN Mission in DRC,1311.17
1795,Trinidad and Tobago,10327,TOBAGO HOUSE OF ASSEMBLY,TTO,Trinidad and Tobago,TTO_GOVT,Trinidad and Tobago Government,1289.88
1796,Thailand,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,1288.47
1797,Burundi,297,UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,1277.59
1798,Namibia,1865,UN Information Centre,UN_AGY 1,UN AGENCY 1,UNIC,AGY_UN Information Centre,1269.71
1799,Jordan,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,1214.51
1800,Uganda,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,1207.93
1801,Ukraine,11193,DZHANKOJ MUNICIPALITY,UKR,Ukraine,UKR_GOVT,Ukraine Government,1205.28
1802,"South Sudan, Republic of",17,AFRICAN DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ADB,African Development Bank,1205.15
