key,Fund Rollup Level 3,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
0826,Cost Sharing,1431,CHI-MINISTERIO DE RELACIONES E,CHL,Chile,CHL_MIN,Chile Ministry,$0
0827,Cost Sharing,1432,ECU-MINISTERIO DE RELACIONES E,ECU,Ecuador,ECU_MIN,Ecuador Ministry,$0
0828,Cost Sharing,1436,VEN-MINISTERIO DE SALUD Y DESA,VEN,Venezuela,VEN_MIN,Venezuela Ministry,$0
0829,Cost Sharing,1438,ECU-MINISTERIO DE SALUD PUBLIC,ECU,Ecuador,ECU_MIN,Ecuador Ministry,$0
0830,Cost Sharing,1439,BOL-MINISTERIO DE SALUD Y PREV,BOL,Bolivia,BOL_MIN,Bolivia Ministry,$0
0831,Cost Sharing,1440,VEN-MINISTERIO DEL TRABAJO,VEN,Venezuela,VEN_MIN,Venezuela Ministry,$0
0832,Cost Sharing,1442,BUL-MINISTRY OF TRANSPORT & CO,BGR,Bulgaria,BGR_MIN,Bulgaria Ministry,$0
0833,Cost Sharing,1443,PER-MINISTERIO TRANSPORTES Y C,PER,Peru,PER_MIN,Peru Ministry,$0
0834,Cost Sharing,1445,URU-MINISTERIO DE TRANSPORTE Y,URY,Uruguay,URY_MIN,Uruguay Ministry,$0
0835,Cost Sharing,1446,PER-MIN.TRAB. Y PROM. EMPLEO R,PER,Peru,PER_MIN,Peru Ministry,$0
0836,Cost Sharing,1447,PER-MINISTERIO DE TRABAJO Y PR,PER,Peru,PER_MIN,Peru Ministry,$0
0837,Cost Sharing,1448,PER-MIN. TRAB. Y PROM. SOCIAL,PER,Peru,PER_MIN,Peru Ministry,$0
0838,Cost Sharing,1449,PER-MTPS DONACIONES Y TRANSFER,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0839,Cost Sharing,1450,PER-MTPS DON. Y TRANSF. ACUERD,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,MTPSDONKFW,PRIV_PER-MTPS DON. Y TRANSF. A,$0
0840,Cost Sharing,1452,BUL-MUNICIPALITIES,BGR,Bulgaria,BGR_MIN,Bulgaria Ministry,$0
0841,Cost Sharing,1453,ECU-MUNICIPIO DE CUENCA,ECU,Ecuador,ECU_MIN,Ecuador Ministry,"$61,930"
0842,Cost Sharing,1454,ECU-MUNICIPALIDAD DE PEDRO MON,ECU,Ecuador,ECU_MIN,Ecuador Ministry,$0
0843,Cost Sharing,1455,ECU-MUNICIPALIDAD DE RUMIÑAHUI,ECU,Ecuador,ECU_MIN,Ecuador Ministry,$0
0844,Cost Sharing,1457,ECU-MUNICIPIO DE CAYAMBE,ECU,Ecuador,ECU_MIN,Ecuador Ministry,$0
0845,Cost Sharing,1458,ECU-ILUSTRE MUNICIPIO DE GUAYA,ECU,Ecuador,ECU_MIN,Ecuador Ministry,$0
0846,Cost Sharing,1459,ECU-MUNICIPIO DEL DISTRITO MET,ECU,Ecuador,ECU_MIN,Ecuador Ministry,"$3,078"
0847,Cost Sharing,1463,TUK-MUNICIPALITY,TKM,Turkmenistan,TKM_MIN,Turkmenistan Ministry,$0
0848,Cost Sharing,1464,PER-MINISTERIO DE VIVIENDA CON,PER,Peru,PER_MIN,Peru Ministry,$0
0849,Cost Sharing,1465,"URU-MINISTERIO DE VIVIENDA, OR",URY,Uruguay,URY_MIN,Uruguay Ministry,"$1,253,036"
0850,Cost Sharing,1466,ARG-GOBIERNO DE LA PROVINCIA D,ARG,Argentina,ARG_GOVT,Argentina Government,$0
0851,Cost Sharing,1470,MEX-NACIONAL FINANCIERA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NAFIN,PRIV_MEX-NACIONAL FINANCIERA,$0
0852,Cost Sharing,1471,LIB-NATIONAL AUTHORITY FOR INF,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,NAID,PRIV_LIB-NATIONAL AUTHORITY FO,$0
0853,Cost Sharing,1476,BYE-NATIONAL BANK OF THE REPUB,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NBRB,PRIV_BYE-NATIONAL BANK OF THE,$0
0854,Cost Sharing,1478,BUL-NATIONAL COUNCIL ON ETHNIC,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NCEDI,PRIV_BUL-NATIONAL COUNCIL ON E,$0
0855,Cost Sharing,1479,PAK-NATIONAL COMMISSION ON HUM,PAK,Pakistan,PAK_MIN,Pakistan Ministry,$0
0856,Cost Sharing,1480,NAT'L DEMOCRATIC INSTITUTE FOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NDI,PRIV_YEM-NATIONAL DEMOCRATIC I,"$80,000"
0857,Cost Sharing,1482,JAM-ROYAL NETHERLANDS EMBASSY,NLD,Netherlands,NLD_MIN,Netherlands Ministry,($0)
0858,Cost Sharing,1483,BUL-NEW MUNICIPALITIES IN BB I,BGR,Bulgaria,BGR_MIN,Bulgaria Ministry,$0
0859,Cost Sharing,1485,PER-NATIONAL EXECUTION (GVT AS,UN_AGY 1,UN AGENCY 1,NEX,AGY_PER-NATIONAL EXECUTION (GV,$0
0860,Cost Sharing,1486,LAT-MINISTRY OF WELFARE,LVA,Latvia,LVA-MIN,Latvia Ministry,$0
0861,Cost Sharing,1488,BRA-NON-GOVERNMENTAL ORGANISAT,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NGO1,PRIV_BRA-NON-GOVERNMENTAL ORGA,$0
0862,Cost Sharing,1491,RUS-NATIONAL NGO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NGO5,PRIV_RUS-NATIONAL NGO,$0
0863,Cost Sharing,1492,INS-NGO (INTERNATIONAL),PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NGO (INT),PRIV_INS-NGO (INTERNATIONAL),$0
0864,Cost Sharing,1493,OBR-NGO INTERNATIONAL,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,NGO INT,PRIV_OBR-NGO INTERNATIONAL,$0
0865,Cost Sharing,1495,TUR-NGO NATIONAL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NGO NAT,PRIV_TUR-NGO NATIONAL,$0
0866,Cost Sharing,1497,OBR-NGO NATIONAL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NGO-NAT,PRIV_OBR-NGO NATIONAL,$0
0867,Cost Sharing,1498,TIM-INTERNATIONAL & NATIONAL,UN_AGY 1,UN AGENCY 1,NGOS,AGY_TIM-INTERNATIONAL & NATIO,$0
0868,Cost Sharing,1499,MEX-NATURAL HERITAGE INSTITUTE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NHI,PRIV_MEX-NATURAL HERITAGE INST,$0
0869,Cost Sharing,1500,NIC-GOBIERNO DE NICARAGUA,NIC,Nicaragua,NIC_GOVT,Nicaragua Government,$0
0870,Cost Sharing,1501,NAM-NATIONAL INSTITUTE FOR EDU,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NIED,PRIV_NAM-NATIONAL INSTITUTE FO,"$57,291"
0871,Cost Sharing,1502,CPR-NINGXIA GOVERNMENT,CHN,People's Republic of China,CHN_GOVT,People's Republic of China Gov,$0
0872,Cost Sharing,1503,YUG-MUNICIPALITY OF NIS,MKD,Macedonia,MKD_GOVT,Macedonia Government,$0
0873,Cost Sharing,1507,RUS-NATIONAL ORGANIZATION FOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NOSPCA,PRIV_RUS-NATIONAL ORGANIZATION,$0
0874,Cost Sharing,1508,CHI-SERV.SALUD ÑUBLE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ÑUBLE,PRIV_CHI-SERV.SALUD ÑUBLE,$0
0875,Cost Sharing,1511,COL-OFICINA DEL ALTO COMISIONA,UN_AGY 1,UN AGENCY 1,O.A.C.P.,AGY_COL-OFICINA DEL ALTO COMIS,$0
0876,Cost Sharing,1513,CHI-SERVICIO SALUD METROPOLITA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,OCCIDENTE_4,PRIV_CHI-SERVICIO SALUD METROP,$0
0877,Cost Sharing,1521,RUS-OIL COMPANY,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,OILCOMPANY,PRIV_RUS-OIL COMPANY,$0
0878,Cost Sharing,1525,RUS-OLIFF,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,OLIFF,PRIV_RUS-OLIFF,$0
0879,Cost Sharing,1528,LEB-OFFICE OF THE MINISTER OF,LBN,Lebanon,LBN_MIN,Lebanon Ministry,"$663,300"
0880,Cost Sharing,1534,CUB-PROGRAMA DE NNUU PARA EL S,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ONUSIDA,PRIV_CUB-PROGRAMA DE NNUU PARA,$0
0881,Cost Sharing,1536,URU-OFICINA DE PLANEAMIENTO Y,URY,Uruguay,URY_MIN,Uruguay Ministry,"$1,402,404"
0882,Cost Sharing,1537,URU-OPP - DIVISIÓN COOPERACIÓN,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,OPP/DCI,PRIV_URU-OPP - DIVISIÓN COOPER,$0
0883,Cost Sharing,1540,URU-OFICINA PLANEAMIENTO Y PRE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,OPP/MRREE,PRIV_URU-OFICINA PLANEAMIENTO,$0
0884,Cost Sharing,1543,EGY-ORGANIZATION FOR RESTRUCTU,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ORDEV,PRIV_EGY-ORGANIZATION FOR REST,($244)
0885,Cost Sharing,1545,GEO-OSCE,MUTLI_AGY2,MULTI-LATERAL AGENCY2,0SCE,INTER-GOVERN_EUROP SEC ORG,"$124,408"
0886,Cost Sharing,1547,BIH-OPEN SOCIETY FUND,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,OSF,PRIV_BIH-OPEN SOCIETY FUND,$0
0887,Cost Sharing,1549,PER-OPEN SOCIETY INSTITUTE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,OSI,PRIV_OPEN SOCIETY INSTITUTE,$0
0888,Cost Sharing,1550,GEO-OPEN SOCIETY INSTITUTE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,OSI,PRIV_OPEN SOCIETY INSTITUTE,$0
0889,Cost Sharing,1551,TAJ-OPEN SOCIETY INSTITUTE/SOR,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,OSI,PRIV_OPEN SOCIETY INSTITUTE,$0
0890,Cost Sharing,1554,SWA-OPEN SOCIETY INITIATIVE FO,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0891,Cost Sharing,1556,BRA-OTHER,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0892,Cost Sharing,1559,MEX-OTRAS INSTANCIAS DE APOYO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,OTROS_3,PRIV_MEX-OTRAS INSTANCIAS DE A,$0
0893,Cost Sharing,1560,GUA-OTROS,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,OTROS,PRIV_GUATEMALA,"$77,141"
0894,Cost Sharing,1561,PAR-OTHER DONORS,UN_AGY 1,UN AGENCY 1,OTROS_2,AGY_PAR-OTHER DONORS_2,$0
0895,Cost Sharing,1564,PER-OXFORD COMMITTEE FOR FAMIN,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,OXFAM,PRIV_OXFORD,$0
0896,Cost Sharing,1566,URU-PROGRAMA DE COOPERACIÓN CI,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,P.C.C.I.P.,PRIV_URU-PROGRAMA DE COOPERACI,$0
0897,Cost Sharing,1572,LEB-PARLEMENT LIBANAIS,LBN,Lebanon,LBN_MIN,Lebanon Ministry,"$119,967"
0898,Cost Sharing,1573,PER-PRESIDENCIA DEL CONSEJO DE,PER,Peru,PER_MIN,Peru Ministry,"$10,717,585"
0899,Cost Sharing,1576,UAE-PROGRAMME COST SHARING,UN_AGY 1,UN AGENCY 1,PCSH,AGY_UAE-PROGRAMME COST SHARING,$0
0900,Cost Sharing,1577,"VEN-PETROLEOS DE VENEZUELA, S.",PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PDVSA,PRIV_VEN-PETROLEOS DE VENEZUEL,$0
0901,Cost Sharing,1578,COL-PERSONERIA DE SANTAFE DE B,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PERSONERIA,PRIV_COL-PERSONERIA DE SANTAFE,$0
0902,Cost Sharing,1586,ROM-PITESTI MUNICIPALITY,ROM,Romania,ROM_MIN,Romania Ministry,$0
0903,Cost Sharing,1589,COL-PLAN CARIBE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PLAN CARIB,PRIV_COL-PLAN CARIBE,$0
0904,Cost Sharing,1591,BOL-PREFECTURA DEL DEPARTAMENT,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PLPZ,PRIV_BOL-PREFECTURA DEL DEPART,$0
0905,Cost Sharing,1592,PER-EMPRESA PLUSPETROL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PLUSPETROL,PRIV_PER-EMPRESA PLUSPETROL,$0
0906,Cost Sharing,1593,LEB-PRIME MINISTER OFFICE,LBN,Lebanon,LBN_MIN,Lebanon Ministry,"$1,144,702"
0907,Cost Sharing,1598,HON-PROGRAMA DE LAS NAC.UNIDAS,UN_AGY 1,UN AGENCY 1,PNUD C-S,AGY_HON-PROGRAMA DE LAS NAC.UN,$0
0908,Cost Sharing,1599,PER-PODER JUDICIAL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PODJUD,PRIV_PER-PODER JUDICIAL,$0
0909,Cost Sharing,1607,ECU-PRESIDENCIA DE LA REPUBLIC,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRESID.1,PRIV_ECU-PRESIDENCIA DE LA REP,$0
0910,Cost Sharing,1611,MOZ-PRIVATE SECTOR,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0911,Cost Sharing,1612,TUR-PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,"$1,166,091"
0912,Cost Sharing,1613,URU-PROGR.CONSERV.BIODIVERSIDA,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0913,Cost Sharing,1614,MEX-PRODUCTORES ACUÍCOLAS DEL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRODUCTORE,PRIV_MEX-PRODUCTORES ACUÍCOLAS,$0
0914,Cost Sharing,1615,PER-AGENCIA DE PROMOCION DE LA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PROINVERSI,PRIV_PER-AGENCIA DE PROMOCION,$0
0915,Cost Sharing,1617,RUS-RESEARCH& PRODUCTION ENTER,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0916,Cost Sharing,1618,PER-PROMOCION DE IMAGEN DEL PE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PROMPERU,PRIV_PER-PROMOCION DE IMAGEN D,$0
0917,Cost Sharing,1619,PER-PROM.EXP,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PROMPEX,PRIV_PER-PROM.EXP,$0
0918,Cost Sharing,1622,CPR-PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,"$249,547"
0919,Cost Sharing,1623,BOL-PREFECTURA DEL DEPARTAMENT,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PLPZ2,PRIV_BOL-PREFECTURA DEL DEPART,$0
0920,Cost Sharing,1624,POL-PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PSEC,PRIV_POL-PRIVATE SECTOR,$0
0921,Cost Sharing,1627,BRA-PONTIFICIE UNIVERSIDADE CA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PUC,PRIV_BRA-PONTIFICIE UNIVERSIDA,$0
0922,Cost Sharing,1631,BUL-RAZLOG MUNICIPALITY,BGR,Bulgaria,BGR_MIN,Bulgaria Ministry,$0
0923,Cost Sharing,1636,COL-RED DE SOLIDARIDAD SOCIAL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,REDSOLIDAR,PRIV_COL-RED DE SOLIDARIDAD SO,"($16,550)"
0924,Cost Sharing,1639,COL-REGISTRADURIA NACIONAL DEL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,REGNACIV,PRIV_COL-REGISTRADURIA NACIONA,$0
0925,Cost Sharing,1642,JAM-SUPPORT TO RES COORD.,UN_AGY 1,UN AGENCY 1,RES COORD.,AGY_JAM-SUPPORT TO RES COORD.,$0
0926,Cost Sharing,1644,RUS-REZO-GARANTIA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,REZO-G,PRIV_RUS-REZO-GARANTIA,$0
0927,Cost Sharing,1646,UKR-RIVNE MUNICIPALITY,UKR,Ukraine,UKR_MIN,Ukraine Ministry,$0
0928,Cost Sharing,1648,ECU-PROYECTO ACCESS TO JUSTICE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,RLAM09,PRIV_ECU-PROYECTO ACCESS TO JU,$0
0929,Cost Sharing,1649,ROCKEFELLER FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,ROCKE,PRIV_ROCKEFELLER FOUNDATION,$0
0930,Cost Sharing,1652,BIH-GOVERNMENT OF REPUBLIKA SR,BIH,Bosnia and Herzegovina,BIH_GOVT,Bosnia and Herzegovina Governm,$0
0931,Cost Sharing,1655,RUS-RUSSIAN GOVERNMENT,RUS,Russian Federation,RUS_GOVT,Russian Federation Government,$0
0932,Cost Sharing,1656,GEO-ROUL WALLENBURG INSTITUTE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,RWI,PRIV_GEO-ROUL WALLENBURG INSTI,$0
0933,Cost Sharing,1658,HON-SECRETARIA DE AGRICULTURA,HND,Honduras,HND_MIN,Honduras Ministry,"$3,983,407"
0934,Cost Sharing,1659,"MEX-SECRETARIA DE AGRICULTURA,",OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0935,Cost Sharing,1660,HON-SECRETARIA PARA ASUNTOS DE,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0936,Cost Sharing,1665,URU-SUPREMA CORTE DE JUSTICIA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SCJ,PRIV_URU-SUPREMA CORTE DE JUST,$0
0937,Cost Sharing,1668,MEX-SECRETARIA DE ECONOMIA,MEX,Mexico,MEX_MIN,Mexico Ministry,"($63,954)"
0938,Cost Sharing,1671,URU-SECRETARIA PRESIDENCIA DE,URY,Uruguay,URY_MIN,Uruguay Ministry,"$53,790"
0939,Cost Sharing,1672,ECU-SECRETARIA NACIONAL DE DIA,ECU,Ecuador,ECU_MIN,Ecuador Ministry,$0
0940,Cost Sharing,1674,COL-SECRETARIA DE HACIENDA DE,COL,Colombia,COL_MIN,Colombia Ministry,$0
0941,Cost Sharing,1675,ROM-MUNICIPALITY SECTOR 3,ROM,Romania,ROM_MIN,Romania Ministry,$0
0942,Cost Sharing,1676,COL-SECTOR PRIVADO GENERAL,UN_AGY 1,UN AGENCY 1,SECTPRIV,AGY_COL-SECTOR PRIVADO GENERAL,$0
0943,Cost Sharing,1677,COL-SECRETARIA DE TRANSITO Y T,COL,Colombia,COL_MIN,Colombia Ministry,$0
0944,Cost Sharing,1678,HON-SECRETARIA DE TURISMO,HND,Honduras,HND_MIN,Honduras Ministry,$0
0945,Cost Sharing,1679,MEX-SECRETARÍA DE DESARROLLO A,MEX,Mexico,MEX_MIN,Mexico Ministry,$0
0946,Cost Sharing,1680,MEX-SECRETARIA DE DESARROLLO S,MEX,Mexico,MEX_MIN,Mexico Ministry,$0
0947,Cost Sharing,1682,CHI-SECRETARIA GENERAL DE LA P,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SEGPRES,PRIV_CHI-SECRETARIA GENERAL DE,"$899,863"
0948,Cost Sharing,1683,MEX-SECRETARIA DE MEDIO AMBIEN,MEX,Mexico,MEX_MIN,Mexico Ministry,"$5,292,357"
0949,Cost Sharing,1684,COL-SERVICIO NACIONAL DE APREN,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SENA,PRIV_COL-SERVICIO NACIONAL DE,"($415,028)"
0950,Cost Sharing,1686,VEN-SERVICIO NACIONAL INTEGRAD,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SENIAT,PRIV_VEN-SERVICIO NACIONAL INT,$0
0951,Cost Sharing,1688,HON-SECRETARIA DE RECURSOS NAT,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SERNA,PRIV_HON-SECRETARIA DE RECURSO,$0
0952,Cost Sharing,1689,COL-SERVICOMERCIO LTDA,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0953,Cost Sharing,1694,ARM-SPITAK FAMERS' ASSOCIATION,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SFA,PRIV_ARM-SPITAK FAMERS' ASSOCI,$0
0954,Cost Sharing,1695,EGY-SOCIAL FUND FOR DEVELOPMEN,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SFD,PRIV_EGY-SOCIAL FUND FOR DEVEL,$0
0955,Cost Sharing,1696,HON-SECRETARIA DE GOBERNACION,HND,Honduras,HND_GOVT,Honduras Government,$0
0956,Cost Sharing,1697,BKF-SHELL FOUDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SHELL,PRIV_BKF-SHELL FOUDATION,$0
0957,Cost Sharing,1700,CHI-SERVICIO DE IMPUESTOS INTE,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SII,PRIV_CHI-SERVICIO DE IMPUESTOS,$0
0958,Cost Sharing,1702,ROM-SLATINA MUNICIPALITY,ROM,Romania,ROM_MIN,Romania Ministry,$0
0959,Cost Sharing,1703,UNV-SLOVAK MINISTRY OF ECONOMY,SVK,Slovak Republic,SVK_GOVT,Slovak Republic Government,$0
0960,Cost Sharing,1708,BUL-SOFIA GREAT MUNICIPALITY,BGR,Bulgaria,BGR_MIN,Bulgaria Ministry,$0
0961,Cost Sharing,1709,"HON-SECRETARIA OBRAS PUBLICAS,",PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SOPTRAVI,PRIV_HON-SECRETARIA OBRAS PUBL,$0
0962,Cost Sharing,1710,POL-THE SOROS FUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SOROS FUND,PRIV_POL-THE SOROS FUNDATION,$0
0963,Cost Sharing,1711,AZE-OPEN SOCIETY INSTITUTE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SOROS-OSI,PRIV_AZE-OPEN SOCIETY INSTITUT,$0
0964,Cost Sharing,1713,PER-SOUTHERN PERU,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0965,Cost Sharing,1714,COL-SUPERINTENDENCIA DE PUERTO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SP.PUERTOS,PRIV_COL-SUPERINTENDENCIA DE P,$0
0966,Cost Sharing,1715,POL-SCHOOL OF PUBLIC HEALTH IN,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SPH,PRIV_POL-SCHOOL OF PUBLIC HEAL,$0
0967,Cost Sharing,1716,COL-SOCIEDAD PORTUARIA REGIONA,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SPRB,PRIV_COL-SOCIEDAD PORTUARIA RE,"($2,667)"
0968,Cost Sharing,1717,MEX-SECRETARIA DE RELACIONES E,MEX,Mexico,MEX_MIN,Mexico Ministry,"$1,006,703"
0969,Cost Sharing,1718,COL-SURAMERICANA DE SEGUROS S.,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SS,PRIV_COL-SURAMERICANA DE SEGUR,$0
0970,Cost Sharing,1719,MEX-SECRETARÍA DE SALUD,MEX,Mexico,MEX_MIN,Mexico Ministry,$0
0971,Cost Sharing,1720,COL-SUPERINTENDENCIA DE SERVIC,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SSPD,PRIV_COL-SUPERINTENDENCIA DE S,$0
0972,Cost Sharing,1722,BOL-SEGURO SOCIAL UNIVERSITARI,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SSU,PRIV_BOL-SEGURO SOCIAL UNIVERS,$0
0973,Cost Sharing,1723,BOL-SUPERINTENDENCIA DE TELECO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ST,PRIV_BOL-SUPERINTENDENCIA DE T,$0
0974,Cost Sharing,1726,CHI-SUBSECRETARÍA DE DESARROLL,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SUBDERE,PRIV_CHI-SUBSECRETARÍA DE DESA,$0
0975,Cost Sharing,1731,CPR-SUZHOU PURIFICATION EQUIPM,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SUZHOU,PRIV_CPR-SUZHOU PURIFICATION E,$0
0976,Cost Sharing,1736,CHI-SERVICIO SALUD TALCAHUANO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,TALCAHUANO,PRIV_CHI-SERVICIO SALUD TALCAH,$0
0977,Cost Sharing,1739,MEX-TRIBUNAL ELECTORAL DEL POD,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,TEPJF,PRIV_MEX-TRIBUNAL ELECTORAL DE,$0
0978,Cost Sharing,1741,ROM-TARGU JIU MUNICIPALITY,ROM,Romania,ROM_MIN,Romania Ministry,$0
0979,Cost Sharing,1742,ROM-MUNICIPALITY OF TARGOVISTE,ROM,Romania,ROM_MIN,Romania Ministry,$0
0980,Cost Sharing,1743,UKR-TICA,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,TICA,PRIV_TICA,$0
0981,Cost Sharing,1744,BYE-TIDES FOUNDATION,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,TIDES,PRIV_BYE-TIDES FOUNDATION,$0
0982,Cost Sharing,1746,PER-TESORO PUBLICO,PER,Peru,PER_MIN,Peru Ministry,$0
0983,Cost Sharing,1748,HAI-MINISTERE DES TRAVAUX PUBL,HTI,Haiti,HTI_MIN,Haiti Ministry,$0
0984,Cost Sharing,1749,CHI-TRANSANTTIAGO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,TRANSANTIA,PRIV_CHI-TRANSANTTIAGO,$0
0985,Cost Sharing,1750,COL-TRANSMILENIO S.A,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,TRANSMILEN,PRIV_COL-TRANSMILENIO S.A,$0
0986,Cost Sharing,1751,TRI-THE GOVERNMENT OF TRINIDAD,TTO,Trinidad and Tobago,TTO_GOVT,Trinidad and Tobago Government,"$380,879"
0987,Cost Sharing,1753,"TRI-MINISTRY OF HEALTH, TRINID",TTO,Trinidad and Tobago,TTO_MIN,Trinidad and Tobago Ministry,$0
0988,Cost Sharing,1759,CHI-UNIVERSIDAD AUSTRAL DE CHI,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,UACH,PRIV_CHI-UNIVERSIDAD AUSTRAL D,$0
