OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
Chile,1345,CHI-MINISTERIO DE EDUCACION,CHL,Chile,CHL_MIN,Chile Ministry,"1,697,959.30"
Kyrgyzstan,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,694,807.86"
Guatemala,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,692,871.58"
"South Sudan, Republic of",10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,680,790.80"
Democratic Republic of Congo,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"1,680,158.85"
Prog for Palestinian People,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"1,672,549.10"
Somalia,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"1,671,216.60"
Nigeria,11268,Delta State Government,NGA,Nigeria,NGA_GOVT,Nigeria Government,"1,665,890.71"
Malawi,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,638,405.48"
Haiti,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"1,631,500.11"
India,12047,FIND,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FIND,FIND,"1,576,810.10"
India,10480,USAID,USA,United States of America,USAID,USAID,"1,576,399.00"
Nepal,180,GOVERNMENT OF NEPAL,NPL,Nepal,NPL_GOVT,Nepal Government,"1,546,611.42"
"Moldova, Republic of",11424,MDTFO/JP_Moldova_JILDP,MDTF1,BU,JP_MD_LDP,MOLDOVA Joint Integrated LDP,"1,532,251.00"
Bureau for Dev. Policy,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"1,503,567.46"
Lesotho,10480,USAID,USA,United States of America,USAID,USAID,"1,501,457.00"
Honduras,10956,COSUDE,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"1,500,000.00"
Lebanon,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,"1,500,000.00"
Brazil,11868,BRA-SECULT,BRA,Brazil,BRA_MIN,Brazil Ministry,"1,496,718.36"
Burundi,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"1,494,910.94"
Colombia,11893,Departamento para la Prosperid,COL,Colombia,COL_GOVT,Colombia Government,"1,462,029.44"
Pakistan,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,"1,461,711.00"
Bratislava Regional Center,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,"1,451,872.46"
Solomon Islands,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"1,445,086.71"
Iraq,11140,Japanese international Coopera,JPN,Japan,JPN_GOVT,Japan Government,"1,439,771.86"
Georgia,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"1,430,190.00"
Nicaragua,184,GOVERNMENT OF NICARAGUA,NIC,Nicaragua,NIC_GOVT,Nicaragua Government,"1,426,414.92"
Nepal,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"1,411,159.91"
Mozambique,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"1,409,056.01"
Uruguay,1536,URU-OFICINA DE PLANEAMIENTO Y,URY,Uruguay,URY_MIN,Uruguay Ministry,"1,402,403.90"
United Arab Emirates,246,GOVERNMENT OF UNITED ARAB EMIR,ARE,United Arab Emirates,ARE_GOVT,United Arab Emirates Governmen,"1,401,455.00"
Armenia,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,391,049.46"
Prog for Palestinian People,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"1,389,030.60"
Timor-Leste,12071,Australian Federal Police,AUS,Australia,AUS_GOVT,Australia Government,"1,383,417.64"
Niger,11363,MDTFO\JP_Peace_Building_Fund,MDTF1,BU,PBF,PEACEBUILDING,"1,374,320.00"
Mali,167,GOVERNMENT OF MALI,MLI,Mali,MLI_GOVT,Mali Government,"1,367,884.32"
Lebanon,11033,LEBANON RECOVERY FUND,MDTF1,BU,LRF,JP LEBANON,"1,360,774.10"
Bureau for Dev. Policy,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,"1,344,772.77"
Iraq,11207,US Department of State,USA,United States of America,USA_GOVT,United States of America Gover,"1,342,226.58"
Reg Bureau for Asia & Pacific,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,341,887.87"
Peru,1391,PER-MUNICIPALIDAD METROPOLITAN,PER,Peru,PER_MIN,Peru Ministry,"1,337,615.48"
Burkina Faso,10012,BILL AND MELINDA GATES FOUNDAT,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,GATESFOUND,PRIV_BILL AND MELINDA GATES FO,"1,327,803.00"
Indonesia,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"1,327,707.79"
Viet Nam,11211,IRISH AID,IRL,Ireland,IRL_GOVT,Ireland Government,"1,324,503.31"
Yemen,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"1,310,867.97"
Brazil,11867,BRA - SENADO,BRA,Brazil,BRA_MIN,Brazil Ministry,"1,310,767.70"
Mali,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,"1,308,900.52"
Prog for Palestinian People,61,GOVERNMENT OF BELGIUM,BEL,Belgium,BEL_GOVT,Belgium Government,"1,303,780.96"
Prog for Palestinian People,11266,Austrian Development Agency,AUT,Austria,AUT_GOVT,Austria Government,"1,303,780.96"
Democratic Republic of Congo,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"1,289,767.84"
Kosovo,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,"1,286,000.00"
Prog for Palestinian People,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"1,285,045.43"
Lao People's Democratic Republ,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,"1,280,574.00"
Haiti,10480,USAID,USA,United States of America,USAID,USAID,"1,257,949.99"
Uruguay,1465,"URU-MINISTERIO DE VIVIENDA, OR",URY,Uruguay,URY_MIN,Uruguay Ministry,"1,253,035.64"
Nigeria,10135,RIVERS STATE GOVERNMENT,RUS,Russian Federation,RUS_GOVT,Russian Federation Government,"1,252,460.42"
Brazil,11238,BRA-MINISTERIO DO MEIO AMBIENT,BRA,Brazil,BRA_MIN,Brazil Ministry,"1,250,939.81"
Pakistan,10480,USAID,USA,United States of America,USAID,USAID,"1,249,999.76"
Viet Nam,11955,MDTFO/UNDP-MPTF Viet Nam REDD,MDTF1,BU,VNM REDD,MDTFO/UNDP-MPTF Viet Nam REDD,"1,234,202.00"
Myanmar,11613,LIFT_Trust_Fund_Manager,MUTLI_AGY2,MULTI-LATERAL AGENCY2,CO_AA_MDTF,CO_AA_MDTF,"1,234,159.00"
Philippines,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"1,213,258.50"
Kazakhstan,11669,MDTFO/JP_Kazakhstan_RPSS,MDTF1,BU,KAZ_RPSS,MDTFO/JP_Kazakhstan_RPSS,"1,210,654.54"
Egypt,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,206,814.07"
Guatemala,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,"1,201,263.60"
"South Sudan, Republic of",11363,MDTFO\JP_Peace_Building_Fund,MDTF1,BU,PBF,PEACEBUILDING,"1,200,000.00"
South Africa,208,GOVERNMENT OF SOUTH AFRICA,ZAF,South Africa,ZAF_GOVT,South Africa Government,"1,196,211.45"
Kenya,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"1,194,029.85"
Malawi,134,GOVERNMENT OF IRELAND,IRL,Ireland,IRL_GOVT,Ireland Government,"1,193,018.52"
Brazil,11248,BRA-Inst. Chico. Mendes de Con,BRA,Brazil,BRA_MIN,Brazil Ministry,"1,190,988.80"
Myanmar,10480,USAID,USA,United States of America,USAID,USAID,"1,188,362.00"
Kosovo,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"1,187,014.53"
Mongolia,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"1,183,368.87"
Prog for Palestinian People,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,"1,172,730.00"
Nicaragua,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,"1,167,650.43"
Peru,11724,European Comm. Humanit. Aid Of,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,151,832.46"
Angola,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,145,461.54"
Lebanon,1593,LEB-PRIME MINISTER OFFICE,LBN,Lebanon,LBN_MIN,Lebanon Ministry,"1,144,701.68"
Prog for Palestinian People,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"1,140,643.22"
Brazil,11968,BRA-Sec Nac Defesa Civil,BRA,Brazil,BRA_GOVT,Brazil Government,"1,138,606.22"
Chad,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,"1,132,015.00"
Sierra Leone,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,115,116.71"
Azerbaijan,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,111,688.31"
Turkey,1612,TUR-PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,"1,088,200.21"
Afghanistan,131,GOVERNMENT OF INDIA,IND,India,IND_GOVT,India Government,"1,080,000.00"
Zimbabwe,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"1,068,702.29"
Brazil,11980,BRA-CONS ADM DEFESA ECON/MJ,BRA,Brazil,BRA_GOVT,Brazil Government,"1,066,168.27"
Niger,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,061,570.86"
Kosovo,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"1,057,765.10"
Colombia,11983,AGENCIA NACIONAL PARALA SUPER,COL,Colombia,COL_GOVT,Colombia Government,"1,055,966.21"
Madagascar,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"1,050,223.56"
Malawi,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"1,048,172.59"
Burkina Faso,11266,Austrian Development Agency,AUT,Austria,AUT_GOVT,Austria Government,"1,043,024.77"
Prog for Palestinian People,191,PALESTINIAN AUTHORITY,PSE,Occupied Palestine,PSE_GOVT,Occupied Palestine Government,"1,039,259.00"
China,11823,Tianyan Green Energy,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CHINA,CWDF,"1,033,826.64"
Nigeria,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"1,011,122.35"
Mexico,1717,MEX-SECRETARIA DE RELACIONES E,MEX,Mexico,MEX_MIN,Mexico Ministry,"1,006,703.25"
Colombia,10992,DPAD-FNC-FIDUPREVISORA S.A.,COL,Colombia,COL_MIN,Colombia Ministry,"1,004,095.08"
"South Sudan, Republic of",141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"1,001,191.43"
Syria,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,"1,000,001.00"
Ethiopia,11900,African Union,MUTLI_AGY2,MULTI-LATERAL AGENCY2,AFR UNION,African Union,"1,000,000.00"
Reg Bur for Arab States,11582,INTL ISLAMIC TRADE FINANCE CO,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ITFC,INTL ISLAMIC TRADE FINANCE CO,"1,000,000.00"
Uganda,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"1,000,000.00"
Madagascar,12053,INDIAN OCEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,INDOCC,INDIAN OCEAN COMMISSION,"999,729.05"
"Sudan, Republic of the",141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"998,808.57"
Fiji,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"992,768.60"
Kazakhstan,10480,USAID,USA,United States of America,USAID,USAID,"989,442.25"
Nigeria,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,"983,284.17"
Cairo Regional Center,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"980,990.84"
Libya,151,GOVERNMENT OF LIBYA,LBY,Libyan Arab Jamahiriya,LBY_GOVT,Libyan Arab Jamahiriya Governm,"980,569.28"
Sri Lanka,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"979,050.00"
Democratic Republic of Congo,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"973,615.50"
Iraq,11664,MDTFO/JP_Iraq_UNDAF_Trust_Fund,MDTF1,BU,IRAQ_UNDAF,MDTFO/JP_Iraq_UNDAF_Trust_Fund,"972,439.00"
Bulgaria,10012,BILL AND MELINDA GATES FOUNDAT,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,GATESFOUND,PRIV_BILL AND MELINDA GATES FO,"972,256.29"
Burundi,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,"960,000.00"
Peru,787,PER-COFIDE,PER,Peru,PER_MIN,Peru Ministry,"958,500.00"
Belize,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"952,540.88"
Lebanon,745,LEB-COUNCIL FOR DEVELOPMENT &,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,CDR,PRIV_LEB-COUNCIL FOR DEVELOPME,"949,900.00"
Bureau for Dev. Policy,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,"931,966.45"
Malawi,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"925,376.82"
Zimbabwe,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"921,794.46"
Brazil,54412,BRA-SECRETARIA DIRETOS HUMANOS,BRA,Brazil,BRA_MIN,Brazil Ministry,"920,087.80"
Timor-Leste,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"913,166.20"
Swaziland,11140,Japanese international Coopera,JPN,Japan,JPN_GOVT,Japan Government,"910,891.09"
Bratislava Regional Center,205,GOVERNMENT OF ROMANIA,ROM,Romania,ROM_GOVT,Romania Government,"908,382.54"
Chile,1682,CHI-SECRETARIA GENERAL DE LA P,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SEGPRES,PRIV_CHI-SECRETARIA GENERAL DE,"899,863.48"
Lebanon,1402,LEB-MINISTRY OF ECONOMY & TRAD,LBN,Lebanon,LBN_MIN,Lebanon Ministry,"895,522.39"
Afghanistan,10480,USAID,USA,United States of America,USAID,USAID,"890,592.50"
Ethiopia,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"889,451.44"
Romania,205,GOVERNMENT OF ROMANIA,ROM,Romania,ROM_GOVT,Romania Government,"879,432.63"
Zambia,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"877,654.91"
Bosnia and Herzegovina,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,"859,492.74"
Bureau for Dev. Policy,10839,THE WILLIAM AND FLORE HEWLETT,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,HEWLETT FDT,PRIV_HEWLETT FDT FOUND,"850,000.00"
Brazil,11762,BRA-PETROBRAS,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,BRAZIL,PRIVATE NATIONAL,"847,457.63"
Bosnia and Herzegovina,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"833,181.96"
India,11308,IKEA SOCIAL INITIATIVE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,IKEASI,PRIV_SWEDEN,"826,130.60"
Egypt,11963,EGYPTIAN POST,EGY,Egypt,EGY_MIN,Egypt Ministry,"819,848.77"
Montenegro,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"816,487.97"
Djibouti,96,GOVERNMENT OF DJIBOUTI,DJI,Djibouti,DJI_GOVT,Djibouti Government,"816,461.96"
Kenya,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"811,827.04"
China,10737,COCA COLA COMPANY,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,COCA COLA,PRIV_COCA COLA,"800,000.00"
Viet Nam,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"800,000.00"
Kenya,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"794,571.83"
Kenya,10480,USAID,USA,United States of America,USAID,USAID,"791,597.72"
Democratic Republic of Congo,11140,Japanese international Coopera,JPN,Japan,JPN_GOVT,Japan Government,"787,031.10"
Bosnia and Herzegovina,67,GOVERNMENT OF BOSNIA AND HERZE,BIH,Bosnia and Herzegovina,BIH_GOVT,Bosnia and Herzegovina Governm,"784,707.67"
Congo,296,UNITED NATIONS,UN_AGY 1,UN AGENCY 1,UN,United Nations,"768,474.00"
Kosovo,10284,KOSOVO GOVERNMENT,KOS,Kosovo,KOS_GOVT,Kosovo Government,"762,102.59"
Peru,1292,PER-MINISTERIO DE ECONOMIA Y F,PER,Peru,PER_MIN,Peru Ministry,"750,649.34"
Reg Bureau for Asia & Pacific,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"746,813.67"
Reg Bur for Arab States,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"746,045.96"
Georgia,11972,"Company ""Meqanizatori"", ltd",PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,MEQANIZATR,"Company ""Meqanizatori"", Ltd","745,724.53"
Nepal,329,DANIDA:,DNK,Denmark,DNK_MIN,Denmark Ministry,"740,000.00"
Egypt,10259,National Telecom Regulatory Au,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NTRA,PRIV_TELECOMMUNICATION REGULAT,"734,952.14"
Panama Regional Center,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"717,277.65"
Algeria,46,GOVERNMENT OF ALGERIA,DZA,Algeria,DZA_GOVT,Algeria Government,"715,655.38"
Brazil,11981,BRA-SEC NACIONAL DO CONSUMIDOR,BRA,Brazil,BRA_GOVT,Brazil Government,"714,091.38"
Mali,10012,BILL AND MELINDA GATES FOUNDAT,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,GATESFOUND,PRIV_BILL AND MELINDA GATES FO,"712,419.00"
Somalia,11982,MDTFO/UNDP-Counter Piracy,MDTF1,BU,CPTF,MDTFO/UNDP-Counter Piracy Trus,"710,680.00"
Guinea,10480,USAID,USA,United States of America,USAID,USAID,"700,454.00"
Lebanon,1405,LEB-MINISTRY OF FINANCE,LBN,Lebanon,LBN_MIN,Lebanon Ministry,"696,467.42"
Myanmar,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"692,691.32"
Egypt,1394,EGY-MINISTRY OF STATE FOR ADMI,EGY,Egypt,EGY_MIN,Egypt Ministry,"692,241.13"
Somalia,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,"688,693.14"
Reg Bureau for Asia & Pacific,10480,USAID,USA,United States of America,USAID,USAID,"685,371.91"
Turkey,10737,COCA COLA COMPANY,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,COCA COLA,PRIV_COCA COLA,"685,033.80"
Montenegro,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"683,991.24"
Pakistan,10550,GOVERNMENT OF NWFP,PAK,Pakistan,PAK_GOVT,Pakistan Government,"679,995.94"
Morocco,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"678,988.64"
Timor-Leste,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"671,441.36"
Chile,11183,CHL-MINISTERIO DEL TRABAJO,CHL,Chile,CHL_MIN,Chile Ministry,"666,537.15"
Cambodia,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"666,231.21"
Lebanon,1528,LEB-OFFICE OF THE MINISTER OF,LBN,Lebanon,LBN_MIN,Lebanon Ministry,"663,299.93"
Dominican Republic,11724,European Comm. Humanit. Aid Of,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"660,384.80"
Uganda,11445,UNOPS - EIF Trust Fund manager,UN_AGY 1,UN AGENCY 1,EIF TFM,MULITAG_EIF TF,"654,630.00"
Mongolia,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,"650,000.00"
Mexico,10503,MINISTRY OF FOREIGN AFFAIRS,NOR,Norway,NOR_MIN,Norway Ministry,"649,572.65"
Kyrgyzstan,10480,USAID,USA,United States of America,USAID,USAID,"646,842.00"
Ghana,11177,CADBURY HOLDINGS LTD,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,CADBURY,PRIV_UNITED KINGDOM,"643,579.00"
Colombia,1360,COL-MINISTERIO DE MINAS Y ENE,COL,Colombia,COL_MIN,Colombia Ministry,"638,591.08"
Bratislava Regional Center,198,GOVERNMENT OF POLAND,POL,Poland,POL_GOVT,Poland Government,"628,941.46"
Ecuador,11724,European Comm. Humanit. Aid Of,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"625,814.86"
Yemen,38,UNOCHA,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,"616,317.06"
Georgia,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"610,966.86"
Zimbabwe,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"610,583.45"
Iraq,11410,Foreign common wealth ofice,GBR,United Kingdom,GBR_MIN,United Kingdom Ministry,"608,999.99"
Uruguay,11236,URU-AGESIC,URY,Uruguay,URY_MIN,Uruguay Ministry,"608,858.38"
Malawi,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"603,946.32"
Uruguay,10856,URU-INST.DEL NINO Y ADOLESCEN,URY,Uruguay,URY_MIN,Uruguay Ministry,"603,010.36"
United Republic of Tanzania,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"602,802.08"
Bureau for Dev. Policy,70,GOVERNMENT OF BOTSWANA,BWA,Botswana,BWA_GOVT,Botswana Government,"602,000.00"
Lebanon,1308,LEB-MINISTRY OF ENERGY & WATER,LBN,Lebanon,LBN_MIN,Lebanon Ministry,"599,900.00"
Afghanistan,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,"599,860.53"
Bureau for Dev. Policy,10480,USAID,USA,United States of America,USAID,USAID,"597,552.00"
Lebanon,10480,USAID,USA,United States of America,USAID,USAID,"597,447.81"
Democratic Republic of Congo,11588,MDTFO/JP_DRC_Microfinance II,MDTF1,BU,JP_MICROFN_COD,MDTFO/JP_DRC_Microfinance II,"595,109.00"
Thailand,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"587,838.15"
Colombia,1373,COL-MINISTERIO DE TRABAJO Y SE,COL,Colombia,COL_MIN,Colombia Ministry,"583,339.87"
Burkina Faso,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,"582,147.48"
Albania,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"581,154.24"
Mozambique,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"580,003.78"
Bolivia,69,GOVERNMENT OF BOLIVIA,BOL,Bolivia,BOL_GOVT,Bolivia Government,"577,704.62"
Senegal,10012,BILL AND MELINDA GATES FOUNDAT,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,GATESFOUND,PRIV_BILL AND MELINDA GATES FO,"575,005.00"
Bureau for Dev. Policy,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"566,827.45"
Somalia,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"566,815.27"
Ukraine,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,"562,017.39"
Lao People's Democratic Republ,11315,MPTFO/JP_GOV/Local_Admin_LAO,MDTF1,BU,JP-LA GVRN,LAOS GOVERNANCE,"558,710.00"
Zimbabwe,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,"540,806.29"
Kenya,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"531,107.74"
India,11994,IPE Global Private Limited,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,IPE GLOBAL,IPE Global Private Limited,"526,062.28"
"Moldova, Republic of",11266,Austrian Development Agency,AUT,Austria,AUT_GOVT,Austria Government,"521,512.39"
Afghanistan,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,"519,684.31"
Uganda,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"513,962.65"
Liberia,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"512,820.51"
